Url,Index,Title,Author,Stars,Ratings,Price
https://www.amazon.in//School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_books_44/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#44,Wren & Martin High School English Grammar And Composition Book (Regular Edition),Rao N,4.5 out of 5 stars,5.865,311.00
https://www.amazon.in//Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_45/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#45,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,10.291,202.00
https://www.amazon.in//One-Arranged-Murder-Chetan-Bhagat/dp/1542094135/ref=zg_bs_books_46/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#46,One Arranged Murder,Chetan Bhagat,4.3 out of 5 stars,13.148,138.00
https://www.amazon.in//Monk-Who-Sold-His-Ferrari/dp/817992162X/ref=zg_bs_books_47/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#47,The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,16.22,147.00
https://www.amazon.in//Certificate-Physics-Human-Geography-Indian/dp/0195628160/ref=zg_bs_books_48/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#48,Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,7.921,325.00
https://www.amazon.in//Richest-Man-Babylon-George-Clason/dp/9388144317/ref=zg_bs_books_49/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#49,The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,20.702,150.00
https://www.amazon.in//Objective-General-English-S-P-Bakshi/dp/9351768449/ref=zg_bs_books_50/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#50,Objective General English,S.P. Bakshi,4.3 out of 5 stars,9.183,197.00
https://www.amazon.in//Eat-That-Frog-Great-Procrastinating/dp/152309513X/ref=zg_bs_books_51/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#51,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.6 out of 5 stars,3.622,202.00
https://www.amazon.in//Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461/ref=zg_bs_books_52/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#52,Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,8.685,308.00
https://www.amazon.in//Childrens-Encyclopedia-Scientists-Discoveries-Familiarises/dp/9350570394/ref=zg_bs_books_53/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#53,"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,2.493,120.00
https://www.amazon.in//Pride-Prejudice-Jane-Austen/dp/8172344503/ref=zg_bs_books_54/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#54,Pride & Prejudice,Jane Austen,4.5 out of 5 stars,22.063,129.00
https://www.amazon.in//Objective-NCERT-your-Fingertips-NEET-AIIMS/dp/9389971268/ref=zg_bs_books_55/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#55,Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5 out of 5 stars,1.116,450.00
https://www.amazon.in//505-Activities-Kids-Dreamland-Publications/dp/935089968X/ref=zg_bs_books_56/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#56,505 Activities For Kids,Dreamland Publications,4.4 out of 5 stars,4.589,169.00
https://www.amazon.in//Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_books_57/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#57,Bhagavad Gita: Yatharoop - Hindi,A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,8.645,179.00
https://www.amazon.in//First-All-One-Bilingual-Hindi-English/dp/9388144457/ref=zg_bs_books_58/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#58,My First All in One: Bilingual Picture Book for Kids Hindi-English,Wonder House Books,4.4 out of 5 stars,1.392,99.00
https://www.amazon.in//Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_books_59/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#59,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,4.5 out of 5 stars,6.77,206.00
https://www.amazon.in//Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_books_60/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#60,"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,19.952,365.00
https://www.amazon.in//Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_books_61/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#61,Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,4.519,99.00
https://www.amazon.in//Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=zg_bs_books_62/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#62,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.5 out of 5 stars,7.857,278.00
https://www.amazon.in//Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=zg_bs_books_63/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#63,Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,4.341,99.00
https://www.amazon.in//Ruskin-Bond-Selling-Children-Collection/dp/8131964817/ref=zg_bs_books_64/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#64,Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars,1.875,419.00
https://www.amazon.in//First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_books_65/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#65,My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,6.332,"1,135.00"
https://www.amazon.in//Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_books_66/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#66,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,4.5 out of 5 stars,76.15,244.00
https://www.amazon.in//Think-Grow-Rich-Napoleon-Hill/dp/8192910911/ref=zg_bs_books_67/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#67,Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,54.429,141.00
https://www.amazon.in//Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_68/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#68,The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,38.431,159.00
https://www.amazon.in//My-First-Little-Librarian-Boxset/dp/B08MLC2GD6/ref=zg_bs_books_69/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#69,My First Little Librarian: Boxset of 12 Best Board Books for Kids,THE BOOK TREE,4.5 out of 5 stars,966.0,405.00
https://www.amazon.in//Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_books_70/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#70,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,1.538,794.63
https://www.amazon.in//General-Knowledge-2022-Manohar-Pandey/dp/932529558X/ref=zg_bs_books_71/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#71,General Knowledge 2022,Manohar Pandey,4.3 out of 5 stars,748.0,133.00
https://www.amazon.in//Who-Will-Cry-When-You/dp/8179922324/ref=zg_bs_books_72/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#72,Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,10.57,130.00
https://www.amazon.in//First-Sight-Words-Sentences-Level/dp/9388371305/ref=zg_bs_books_73/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#73,Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,2.286,135.00
https://www.amazon.in//SSC-Constable-Exam-Guide-2021/dp/9325295423/ref=zg_bs_books_74/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#74,SSC Constable GD Exam Guide 2021,Arihant Experts,4.2 out of 5 stars,133.0,122.00
https://www.amazon.in//Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055/ref=zg_bs_books_75/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#75,"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,4.588,183.00
https://www.amazon.in//Death-Inside-Story-those-shall/dp/0143450832/ref=zg_bs_books_76/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#76,Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,6.435,193.00
https://www.amazon.in//Theory-Everything-Stephen-Hawking/dp/8179925919/ref=zg_bs_books_77/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#77,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,7.345,141.00
https://www.amazon.in//How-Stop-Worrying-Start-Living/dp/8175993952/ref=zg_bs_books_78/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#78,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,13.61,147.00
https://www.amazon.in//How-Crack-Test-Reasoning-Jaikishan/dp/9313166755/ref=zg_bs_books_79/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#79,How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.4 out of 5 stars,2.668,150.00
https://www.amazon.in//Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_books_80/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#80,Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,2.135,129.00
https://www.amazon.in//AM-Club-Your-Morning-Elevate/dp/9387944891/ref=zg_bs_books_81/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#81,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.5 out of 5 stars,14.436,234.00
https://www.amazon.in//INDIAN-ECONOMY-Services-Universities-Examinations/dp/9390727421/ref=zg_bs_books_82/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#82,"INDIAN ECONOMY For Civil Services, Universities and Other Examinations | 13th Edition",RAMESH SINGH,4.4 out of 5 stars,396.0,534.00
https://www.amazon.in//Cracking-the-Coding-Interview/dp/0984782869/ref=zg_bs_books_83/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#83,Cracking the Coding Interview (Indian Edition),Gayle Laakmann McDowell,4.6 out of 5 stars,1.473,580.00
https://www.amazon.in//Peppa-Pig-Little-Library-Ladybird/dp/1409303187/ref=zg_bs_books_84/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#84,Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,14.996,226.00
https://www.amazon.in//Official-Cambridge-Guide-Students-Answers/dp/110744277X/ref=zg_bs_books_85/258-2963089-5794142?_encoding=UTF8&psc=1&refRID=87CD63RJ6C554TZZ91FT,#85,The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,4.4 out of 5 stars,3.198,434.00
